Elektrizitätsbilanz der Schweiz - Monatswerte, in GWh   ;;;;;;;;;;;;;
Oktober / Octobre 2006;2673;2388;259;5320;184;5136;3111;3193;5054;367;4687;-82;
November / Novembre 2006;2380;2327;291;4998;148;4850;3424;2882;5392;364;5028;542;
Dezember / Décembre 2006;2322;2419;279;5020;161;4859;3952;3084;5727;385;5342;868;
Januar / Janvier 2007;2293;2413;297;5003;158;4845;4115;3187;5773;364;5409;928;
Februar / Février 2007;2190;2174;278;4642;112;4530;3550;2843;5237;369;4868;707;
März / Mars 2007;2391;2302;291;4984;108;4876;3932;3246;5562;382;5180;686;
April / Avril 2007;2320;2313;274;4907;190;4717;3184;3199;4702;357;4345;-15;
Mai / Mai 2007;3160;2365;248;5773;214;5559;2275;3048;4786;341;4445;-773;
Juni / Juin 2007;4370;1799;243;6412;262;6150;1717;3186;4681;313;4368;-1469;
Juli / Juillet 2007;4532;2271;262;7065;227;6838;1530;3733;4635;348;4287;-2203;
August / Août 2007;4280;1378;234;5892;208;5684;1896;2892;4688;346;4342;-996;
September / Septembre 2007;3153;2179;250;5582;191;5391;2440;3031;4800;334;4466;-591;
Oktober / Octobre 2007;2911;2398;263;5572;135;5437;2959;3130;5266;382;4884;-171;
November / Novembre 2007;2410;2334;286;5030;139;4891;3355;2536;5710;385;5325;819;
Dezember / Décembre 2007;2363;2418;273;5054;160;4894;3865;2849;5910;397;5513;1016;
Januar / Janvier 2008;2379;2409;279;5067;163;4904;3803;2726;5981;377;5604;1077;
Februar / Février 2008;2243;2252;272;4767;125;4642;3474;2586;5530;389;5141;888;
März / Mars 2008;2273;2401;280;4954;142;4812;3451;2651;5612;385;5227;800;
April / Avril 2008;2301;2320;272;4893;203;4690;2930;2354;5266;400;4866;576;
Mai / Mai 2008;3554;2332;255;6141;314;5827;1990;2964;4853;346;4507;-974;
Juni / Juin 2008;4500;1460;269;6229;307;5922;1496;2643;4775;320;4455;-1147;
Juli / Juillet 2008;4356;2295;276;6927;330;6597;1365;3248;4714;354;4360;-1883;
August / Août 2008;3976;1253;275;5504;312;5192;1970;2465;4697;346;4351;-495;
September / Septembre 2008;4288;2256;267;6811;205;6606;1551;3208;4949;345;4604;-1657;
Oktober / Octobre 2008;2574;2392;275;5241;230;5011;2903;2622;5292;384;4908;281;
November / Novembre 2008;2660;2338;273;5271;166;5105;3022;2577;5550;374;5176;445;
Dezember / Décembre 2008;2455;2424;283;5162;188;4974;3646;2692;5928;398;5530;954;
Januar / Janvier 2009;2675;2426;284;5385;117;5268;3622;2640;6250;394;5856;982;
Februar / Février 2009;2226;2184;262;4672;137;4535;3410;2426;5519;388;5131;984;
März / Mars 2009;2389;2414;273;5076;184;4892;3328;2602;5618;386;5232;726;
April / Avril 2009;2899;2324;264;5487;176;5311;2070;2705;4676;355;4321;-635;
Mai / Mai 2009;3890;2365;260;6515;283;6232;1453;3050;4635;331;4304;-1597;
Juni / Juin 2009;4354;1725;257;6336;245;6091;1703;3239;4555;305;4250;-1536;
Juli / Juillet 2009;4703;2267;266;7236;319;6917;1388;3699;4606;346;4260;-2311;
August / Août 2009;4451;1213;258;5922;289;5633;1790;2792;4631;341;4290;-1002;
September / Septembre 2009;2916;2056;271;5243;221;5022;2601;2863;4760;332;4428;-262;
Oktober / Octobre 2009;2356;2403;272;5031;200;4831;2978;2607;5202;378;4824;371;
November / Novembre 2009;1976;2320;285;4581;151;4430;3319;2321;5428;366;5062;998;
Dezember / Décembre 2009;2301;2422;287;5010;201;4809;3706;2581;5934;398;5536;1125;
Januar / Janvier 2010;2805;2423;326;5554;137;5417;3394;2567;6244;394;5850;827;
Februar / Février 2010;2402;2187;306;4895;107;4788;3344;2508;5624;395;5229;836;
März / Mars 2010;2319;2412;305;5036;150;4886;3735;2756;5865;403;5462;979;
April / Avril 2010;2116;2326;296;4738;161;4577;2977;2560;4994;379;4615;417;
Mai / Mai 2010;3384;2203;306;5893;249;5644;2030;2729;4945;353;4592;-699;
Juni / Juin 2010;4328;1562;296;6186;372;5814;1833;2864;4783;320;4463;-1031;
Juli / Juillet 2010;4227;2129;307;6663;361;6302;1971;3506;4767;358;4409;-1535;
August / Août 2010;3985;1246;303;5534;296;5238;2093;2556;4775;352;4423;-463;
September / Septembre 2010;3216;1494;270;4980;163;4817;2628;2542;4903;342;4561;86;
Oktober / Octobre 2010;2805;2428;300;5533;169;5364;3066;3031;5399;392;5007;35;
November / Novembre 2010;2694;2350;292;5336;183;5153;3163;2633;5683;383;5300;530;
Dezember / Décembre 2010;3169;2445;290;5904;146;5758;3167;2629;6296;422;5874;538;
Januar / Janvier 2011;2652;2435;321;5408;144;5264;3682;2733;6213;392;5821;949;revidiert / révisé
Februar / Février 2011;2228;2177;311;4716;99;4617;3733;2743;5607;394;5213;990;
März / Mars 2011;2032;2426;321;4779;167;4612;3726;2526;5812;399;5413;1200;
April / Avril 2011;2142;2321;291;4754;189;4565;2758;2494;4829;366;4463;264;
Mai / Mai 2011;2795;2397;264;5456;238;5218;2143;2421;4940;353;4587;-278;
Juni / Juin 2011;3392;1561;257;5210;332;4878;2265;2489;4654;312;4342;-224;
Juli / Juillet 2011;3663;2057;310;6030;376;5654;2124;3135;4643;349;4294;-1011;
August / Août 2011;3518;1151;285;4954;315;4639;2181;2098;4722;348;4374;83;
September / Septembre 2011;3539;1835;269;5643;195;5448;1852;2495;4805;335;4470;-643;
Oktober / Octobre 2011;2772;2397;286;5455;122;5333;3028;3135;5226;379;4847;-107;
November / Novembre 2011;2535;2361;300;5196;120;5076;3532;2988;5620;378;5242;544;
Dezember / Décembre 2011;2527;2442;311;5280;169;5111;3800;2980;5931;398;5533;820;
Januar / Janvier 2012;2796;2437;310;5543;133;5410;3616;2900;6126;386;5740;716;
Februar / Février 2012;2835;2276;309;5420;92;5328;3585;2661;6252;440;5812;924;
März / Mars 2012;2148;2357;349;4854;157;4697;3777;2883;5591;384;5207;894;
April / Avril 2012;2445;2222;297;4964;174;4790;2749;2507;5032;381;4651;242;
Mai / Mai 2012;3771;2291;326;6388;227;6161;1537;2906;4792;343;4449;-1369;
Juni / Juin 2012;4486;1508;293;6287;360;5927;1680;2948;4659;313;4346;-1268;
Juli / Juillet 2012;4560;2236;320;7116;317;6799;1269;3434;4634;348;4286;-2165;
August / Août 2012;4244;1351;309;5904;288;5616;1498;2406;4708;347;4361;-908;
September / Septembre 2012;3426;1296;287;5009;185;4824;2540;2621;4743;331;4412;-81;
Oktober / Octobre 2012;3414;1567;295;5276;141;5135;3280;3121;5294;384;4910;159;
November / Novembre 2012;2865;2362;344;5571;147;5424;3041;2884;5581;376;5205;157;
Dezember / Décembre 2012;2916;2442;329;5687;190;5497;2977;2478;5996;402;5594;499;
Januar / Janvier 2013;3112;2421;343;5876;101;5775;3240;2834;6181;389;5792;406;
Februar / Février 2013;3003;2214;342;5559;69;5490;3271;2922;5839;411;5428;349;
März / Mars 2013;2333;2437;369;5139;87;5052;3268;2399;5921;408;5513;869;
April / Avril 2013;2419;2352;341;5112;124;4988;2362;2182;5168;391;4777;180;
Mai / Mai 2013;4038;1713;332;6083;146;5937;1826;2837;4926;353;4573;-1011;
Juni / Juin 2013;3983;1555;300;5838;253;5585;1691;2566;4710;316;4394;-875;
Juli / Juillet 2013;4416;1817;314;6547;308;6239;1601;3146;4694;352;4342;-1545;
August / Août 2013;4035;1710;294;6039;272;5767;1540;2646;4661;344;4317;-1106;
September / Septembre 2013;3097;1328;280;4705;245;4460;2345;2048;4757;332;4425;297;
Oktober / Octobre 2013;2953;2454;299;5706;199;5507;2536;2823;5220;379;4841;-287;
November / Novembre 2013;3297;2394;318;6009;138;5871;2862;3052;5681;382;5299;-190;
Dezember / Décembre 2013;2886;2476;337;5699;190;5509;3332;2815;6026;404;5622;517;
Januar / Janvier 2014;2509;2469;326;5304;154;5150;3525;2636;6039;380;5659;889;
Februar / Février 2014;2518;2233;304;5055;122;4933;3360;2816;5477;386;5091;544;
März / Mars 2014;2776;2459;378;5613;126;5487;3248;3151;5584;385;5199;97;
April / Avril 2014;2932;2257;319;5508;140;5368;1818;2344;4842;366;4476;-526;
Mai / Mai 2014;3525;2449;318;6292;226;6066;1531;2730;4867;349;4518;-1199;
Juni / Juin 2014;3975;1659;309;5943;337;5606;1596;2657;4545;305;4240;-1061;
Juli / Juillet 2014;4430;2122;337;6889;313;6576;1480;3409;4647;348;4299;-1929;
August / Août 2014;4134;1466;315;5915;331;5584;1532;2539;4577;338;4239;-1007;
September / Septembre 2014;3174;1956;309;5439;227;5212;2064;2500;4776;333;4443;-436;
Oktober / Octobre 2014;2963;2441;344;5748;143;5605;2614;3046;5173;376;4797;-432;
November / Novembre 2014;3246;2385;332;5963;119;5844;2708;3161;5391;362;5029;-453;
Dezember / Décembre 2014;3126;2474;364;5964;117;5847;3054;3032;5869;393;5476;22;
Januar / Janvier 2015;3110;2430;367;5907;79;5828;3799;3437;6190;390;5800;362;revidiert / révisé
Februar / Février 2015;2884;2235;370;5489;70;5419;3432;3045;5806;409;5397;387;revidiert / révisé
März / Mars 2015;2500;2299;363;5162;122;5040;3381;2742;5679;392;5287;639;
April / Avril 2015;2704;2010;334;5048;136;4912;2624;2592;4944;374;4570;32;
Mai / Mai 2015;4078;2172;349;6599;278;6321;1176;2747;4750;340;4410;-1571;
Juni / Juin 2015;4585;1494;335;6414;284;6130;1475;2987;4618;310;4308;-1512;
Juli / Juillet 2015;4314;1899;359;6572;325;6247;1848;3406;4689;351;4338;-1558;
August / Août 2015;3517;1032;344;4893;329;4564;2229;2152;4641;342;4299;77;revidiert / révisé
September / Septembre 2015;3241;1261;331;4833;246;4587;2683;2446;4824;337;4487;237;
Oktober / Octobre 2015;3278;1478;387;5143;134;5009;3377;3104;5282;384;4898;273;
November / Novembre 2015;2825;1800;416;5041;101;4940;3815;3321;5434;365;5069;494;
Dezember / Décembre 2015;2450;1985;421;4856;192;4664;4194;3089;5769;386;5383;1105;
Januar / Janvier 2016;2236;2200;431;4867;214;4653;4110;2728;6035;380;5655;1382;
Februar / Février 2016;2401;2056;452;4909;124;4785;3817;2924;5678;400;5278;893;
März / Mars 2016;2356;2195;468;5019;166;4853;3853;2953;5753;397;5356;900;
April / Avril 2016;2931;2115;416;5462;195;5267;2299;2543;5023;380;4643;-244;
Mai / Mai 2016;3396;2162;384;5942;284;5658;1608;2449;4817;345;4472;-841;
Juni / Juin 2016;4545;1508;370;6423;317;6106;1326;2819;4613;309;4304;-1493;
Juli / Juillet 2016;4228;2061;391;6680;385;6295;1728;3489;4534;339;4195;-1761;
August / Août 2016;3608;973;405;4986;344;4642;2405;2480;4567;337;4230;-75;
September / Septembre 2016;3189;1143;416;4748;255;4493;2662;2500;4655;325;4330;162;
Oktober / Octobre 2016;2304;1280;431;4015;257;3758;3142;1644;5256;382;4874;1498;
November / Novembre 2016;2328;1250;448;4026;223;3803;3671;1834;5640;379;5261;1837;
Dezember / Décembre 2016;2804;1292;443;4539;158;4381;3475;1810;6046;405;5641;1665;
Januar / Janvier 2017;3199;1293;437;4929;199;4730;3832;2002;6560;413;6147;1830;
Februar / Février 2017;1725;1369;465;3559;246;3313;4100;1939;5474;386;5088;2161;
März / Mars 2017;2404;2129;522;5055;289;4766;3632;2869;5529;382;5147;763;
April / Avril 2017;2323;2059;434;4816;240;4576;2401;2145;4832;366;4466;256;
Mai / Mai 2017;3245;2101;449;5795;372;5423;1953;2520;4856;348;4508;-567;
Juni / Juin 2017;4222;1360;452;6034;475;5559;1808;2759;4608;309;4299;-951;
Juli / Juillet 2017;3829;2017;433;6279;482;5797;2078;3300;4575;342;4233;-1222;
August / Août 2017;3927;1706;415;6048;453;5595;1825;2730;4690;346;4344;-905;
September / Septembre 2017;3155;1340;411;4906;362;4544;2564;2313;4795;335;4460;251;
Oktober / Octobre 2017;2567;1287;421;4275;366;3909;3831;2626;5114;372;4742;1205;
November / Novembre 2017;3081;1252;425;4758;354;4404;4022;2701;5725;385;5340;1321;
Dezember / Décembre 2017;2989;1586;458;5033;322;4711;4450;3042;6119;410;5709;1408;
Januar / Janvier 2018;2713;2060;447;5220;261;4959;3734;2782;5911;372;5539;952;
Februar / Février 2018;3006;1867;450;5323;161;5162;3788;3202;5748;406;5342;586;
März / Mars 2018;2343;2148;427;4918;281;4637;3708;2462;5883;406;5477;1246;
April / Avril 2018;2699;2244;482;5425;413;5012;2166;2457;4721;358;4363;-291;
Mai / Mai 2018;4368;2300;501;7169;462;6707;1075;3042;4740;340;4400;-1967;
Juni / Juin 2018;4595;1633;534;6762;456;6306;1118;2788;4636;311;4325;-1670;
Juli / Juillet 2018;3946;2175;504;6625;317;6308;1614;3333;4589;343;4246;-1719;
August / Août 2018;3540;2088;484;6112;356;5756;1548;2736;4568;337;4231;-1188;
September / Septembre 2018;2664;1736;493;4893;404;4489;2168;2039;4618;323;4295;129;
Oktober / Octobre 2018;2417;1553;477;4447;235;4212;3679;2731;5160;375;4785;948;
November / Novembre 2018;2500;2241;451;5192;307;4885;2926;2263;5548;373;5175;663;
Dezember / Décembre 2018;2637;2369;466;5472;334;5138;3496;2772;5862;393;5469;724;
Januar / Janvier 2019;3047;2373;463;5883;220;5663;3520;2953;6230;392;5838;567;
Februar / Février 2019;2216;2088;495;4799;200;4599;3404;2531;5472;386;5086;873;
März / Mars 2019;2249;2375;492;5116;334;4782;3340;2562;5560;384;5176;778;
April / Avril 2019;2699;2259;442;5400;313;5087;2248;2430;4905;372;4533;-182;
Mai / Mai 2019;3139;2038;538;5715;384;5331;2055;2419;4967;356;4611;-364;
Juni / Juin 2019;4809;919;564;6292;601;5691;1724;2913;4502;302;4200;-1189;
Juli / Juillet 2019;5074;2047;574;7695;428;7267;1210;3943;4534;339;4195;-2733;
August / Août 2019;4819;1954;525;7298;338;6960;1185;3691;4454;329;4125;-2506;
September / Septembre 2019;3057;2163;502;5722;386;5336;2154;2886;4604;322;4282;-732;
Oktober / Octobre 2019;3268;2441;488;6197;394;5803;2765;3480;5088;370;4718;-715;
November / Novembre 2019;3153;2373;477;6003;248;5755;2876;3144;5487;369;5118;-268;
Dezember / Décembre 2019;3026;2250;498;5774;287;5487;3024;2813;5698;382;5316;211;
Januar / Janvier 2020;3219;2187;498;5904;206;5698;3259;3076;5881;370;5511;183;
Februar / Février 2020;2736;2047;531;5314;232;5082;3232;2973;5341;377;4964;259;
März / Mars 2020;3005;2185;542;5732;300;5432;2570;2709;5293;366;4927;-139;
April / Avril 2020;2778;1974;519;5271;429;4842;1764;2285;4321;328;3993;-521;
Mai / Mai 2020;3671;1944;554;6169;600;5569;1607;2696;4480;321;4159;-1089;
Juni / Juin 2020;4181;1476;546;6203;487;5716;1254;2522;4448;298;4150;-1268;
Juli / Juillet 2020;4393;1249;618;6260;414;5846;1587;2990;4443;332;4111;-1403;
August / Août 2020;3889;1626;557;6072;508;5564;1482;2574;4472;330;4142;-1092;
September / Septembre 2020;3364;2067;555;5986;385;5601;1582;2547;4636;324;4312;-965;
Oktober / Octobre 2020;3431;2164;481;6076;425;5651;2422;2837;5236;381;4855;-415;
November / Novembre 2020;3010;2103;473;5586;203;5383;2877;2839;5421;365;5056;38;
Dezember / Décembre 2020;2939;1968;443;5350;270;5080;3352;2500;5932;398;5534;852;
Januar / Janvier 2021;3273;2147;401;5821;274;5547;3258;2648;6157;387;5770;610;
Februar / Février 2021;2772;1946;451;5169;212;4957;2876;2508;5325;376;4949;368;
März / Mars 2021;2696;2174;540;5410;204;5206;2954;2592;5568;385;5183;362;
April / Avril 2021;2287;2104;612;5003;322;4681;2330;2042;4969;377;4592;288;
Mai / Mai 2021;3250;1576;605;5431;506;4925;1950;2001;4874;349;4525;-51;
Juni / Juin 2021;4792;629;632;6053;411;5642;1675;2718;4599;308;4291;-1043;
Juli / Juillet 2021;4947;1258;433;6638;433;6205;1730;3394;4541;339;4202;-1664;
August / Août 2021;4463;1040;594;6097;404;5693;1958;3067;4584;338;4246;-1109;
September / Septembre 2021;3103;1119;529;4751;325;4426;2531;2247;4710;329;4381;284;
Oktober / Octobre 2021;2402;1277;513;4192;327;3865;3457;2102;5220;380;4840;1355;
November / Novembre 2021;2877;1227;422;4526;309;4217;3433;1871;5779;389;5390;1562;
Dezember / Décembre 2021;2638;2033;453;5124;418;4706;3380;1929;6157;413;5744;1451;
Januar / Janvier 2022;2689;2205;468;5362;317;5045;3395;2271;6169;388;5781;1124;
Februar / Février 2022;2019;1989;484;4492;303;4189;3631;2346;5474;386;5088;1285;
März / Mars 2022;2076;2191;588;4855;292;4563;3566;2522;5607;388;5219;1044;
April / Avril 2022;2384;2104;626;5114;374;4740;2495;2251;4984;378;4606;244;
Mai / Mai 2022;3448;1644;686;5778;423;5355;2062;2645;4772;342;4430;-583;
Juni / Juin 2022;3787;746;693;5226;451;4775;2238;2373;4640;311;4329;-135;
Juli / Juillet 2022;3671;1706;636;6013;624;5389;2228;3130;4487;335;4152;-902;
August / Août 2022;3233;1966;627;5826;597;5229;1960;2623;4566;337;4229;-663;
September / Septembre 2022;2730;2071;586;5387;504;4883;2338;2521;4700;328;4372;-183;
Oktober / Octobre 2022;2655;2170;550;5375;604;4771;2539;2502;4808;350;4458;37;
November / Novembre 2022;2159;2121;509;4789;485;4304;3382;2410;5276;355;4921;972;
Dezember / Décembre 2022;2650;2200;437;5287;593;4694;3283;2140;5837;392;5445;1143;
Januar / Janvier 2023;3078;2202;439;5719;385;5334;3396;2826;5904;371;5533;570;
Februar / Février 2023;2421;1983;508;4912;303;4609;3320;2674;5255;371;4884;646;
März / Mars 2023;2735;2191;594;5520;355;5165;2684;2410;5439;376;5063;274;
April / Avril 2023;2391;2119;702;5212;417;4795;2423;2344;4874;370;4504;79;
Mai / Mai 2023;3800;1021;829;5650;510;5140;1962;2459;4643;333;4310;-497;
Juni / Juin 2023;4216;1337;890;6443;509;5934;1484;2894;4524;303;4221;-1410;
Juli / Juillet 2023;4057;2124;794;6975;653;6322;1545;3497;4370;326;4044;-1952;
August / Août 2023;4054;1884;767;6705;493;6212;1393;3021;4584;338;4246;-1628;
September / Septembre 2023;3865;1961;750;6576;465;6111;1387;2962;4536;317;4219;-1575;
Oktober / Octobre 2023;3185;2180;645;6010;414;5596;2234;2931;4899;356;4543;-697;
November / Novembre 2023;3727;2126;538;6391;354;6037;2525;3043;5519;371;5148;-518;
Dezember / Décembre 2023;3251;2206;484;5941;517;5424;3109;2795;5738;385;5353;314;
Januar / Janvier 2024;3893;2204;453;6550;326;6224;2966;3209;5981;376;5605;-243;
Februar / Février 2024;3154;2056;526;5736;291;5445;2994;3189;5250;371;4879;-195;
März / Mars 2024;3374;2194;712;6280;232;6048;2473;3174;5347;370;4977;-701;
April / Avril 2024;3421;2013;872;6306;468;5838;1836;2722;4952;376;4576;-886;
Mai / Mai 2024;4410;808;975;6193;438;5755;1991;2987;4759;341;4418;-996;
Juni / Juin 2024;4933;1251;980;7164;632;6532;1515;3460;4587;307;4280;-1945;P
